model,run,imgsz,imgsz_group,best_epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,source_csv
yolov8m,train7,640,640,61,1.07783,1.69413,1.12477,0.87757,0.77447,0.88201,0.62579,1.08041,1.58048,1.07565,runs/detect/train7/results.csv
yolo26m,train9,640,640,56,1.10454,1.34628,0.00651,0.89124,0.76935,0.88517,0.63497,1.06559,1.4399,0.00991,runs/detect/train9/results.csv
yolo26s,train12,640,640,66,1.09521,1.27179,0.0064,0.89576,0.85723,0.89705,0.64875,1.06718,1.46932,0.00995,runs/detect/train12/results.csv
yolo26n,train13,640,640,52,1.09848,1.70287,0.00638,0.87778,0.76209,0.8668,0.61255,1.12913,1.87644,0.01074,runs/detect/train13/results.csv
yolo11m,train17,640,640,21,1.21534,2.32752,1.16894,0.68533,0.81388,0.81299,0.54856,1.17234,1.86719,1.13249,runs/detect/train17/results.csv
yolo11s,train18,640,640,67,1.04815,1.52855,1.07311,0.8772,0.88312,0.92465,0.65815,1.0729,1.51206,1.06404,runs/detect/train18/results.csv
yolo11n,train19,640,640,80,1.00728,1.5683,1.34597,0.86954,0.83119,0.90943,0.64627,1.10318,1.80719,1.5785,runs/detect/train19/results.csv
yolov8m,train8,1280,1280,87,1.02137,1.41333,1.34462,0.831,0.87786,0.89035,0.63808,1.07518,1.52717,1.5199,runs/detect/train8/results.csv
yolo26s,train10,1280,1280,37,1.17998,1.65625,0.00685,0.89126,0.81386,0.91451,0.6377,1.10932,1.32836,0.01061,runs/detect/train10/results.csv
yolo26n,train11,1280,1280,58,1.07995,1.51574,0.00634,0.79415,0.83793,0.85508,0.6114,1.07742,1.5276,0.01038,runs/detect/train11/results.csv
yolo11m,train14,1280,1280,91,1.03093,1.45336,1.4842,0.77088,0.85273,0.86853,0.61727,1.05354,1.5198,1.53385,runs/detect/train14/results.csv
yolo11s,train15,1280,1280,66,1.09595,1.6747,1.36819,0.86415,0.838,0.88516,0.62791,1.08129,1.64254,1.54629,runs/detect/train15/results.csv
yolo11n,train16,1280,1280,40,1.09209,2.00718,1.08361,0.84442,0.92835,0.94527,0.66431,1.09083,1.56464,1.09866,runs/detect/train16/results.csv
