epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0661,1.92694,2.26612,1.74817,0.82529,0.80882,0.8575,0.46044,1.62117,1.75024,1.4824,0.00062,0.00062,0.00062
2,33.2438,1.66769,1.36795,1.56772,0,0,0,0,nan,nan,nan,0.00124753,0.00124753,0.00124753
3,49.3471,1.64868,1.14294,1.56205,0,0,0,0,0,5937.6,0,0.00186238,0.00186238,0.00186238
4,65.2713,1.6062,1.14689,1.52866,0.24686,0.13971,0.11954,0.04221,3.20479,7.42819,3.10871,0.0019406,0.0019406,0.0019406
5,81.1942,1.59293,1.07181,1.52313,0,0,0,0,0.38551,1.15,0.93445,0.0019208,0.0019208,0.0019208
6,97.1819,1.54053,0.98773,1.47781,0.94707,0.48529,0.50294,0.30639,1.97899,3.68366,3.02536,0.001901,0.001901,0.001901
7,113.159,1.57791,0.96438,1.46394,0.95734,0.81618,0.87944,0.46314,1.57362,1.9694,1.58834,0.0018812,0.0018812,0.0018812
8,129.618,1.46388,0.88916,1.40252,0.95073,0.63971,0.82131,0.49453,1.44513,1.50546,1.39352,0.0018614,0.0018614,0.0018614
9,146.048,1.48867,0.88531,1.40978,0.95356,0.55147,0.72723,0.43283,1.5693,1.73901,1.4994,0.0018416,0.0018416,0.0018416
10,162.49,1.45791,0.87591,1.40903,0.09221,0.65441,0.0809,0.04046,1.74955,5.899,1.59101,0.0018218,0.0018218,0.0018218
11,179.142,1.46717,0.85128,1.4286,0.97164,0.75586,0.87417,0.50747,1.53794,1.00093,1.44336,0.001802,0.001802,0.001802
12,195.794,1.46578,0.83936,1.44023,0.7941,0.86765,0.89136,0.49444,1.55345,0.90697,1.50329,0.0017822,0.0017822,0.0017822
13,212.327,1.45269,0.79603,1.40427,0.97514,0.86511,0.95384,0.53878,1.53332,0.82106,1.42743,0.0017624,0.0017624,0.0017624
14,229.173,1.41249,0.80168,1.3998,0.98053,0.86765,0.9785,0.58865,1.42637,0.83061,1.41572,0.0017426,0.0017426,0.0017426
15,245.892,1.41926,0.75986,1.39268,0.94515,0.88696,0.95662,0.54947,1.51319,0.73429,1.46465,0.0017228,0.0017228,0.0017228
16,262.202,1.37524,0.7369,1.38311,0.89717,0.83399,0.931,0.56083,1.49388,0.7603,1.51085,0.001703,0.001703,0.001703
17,278.59,1.40145,0.73523,1.39314,0.91311,0.92728,0.98203,0.58964,1.45283,0.69825,1.41637,0.0016832,0.0016832,0.0016832
18,295.104,1.36703,0.75196,1.36451,0.96228,0.875,0.95925,0.58301,1.40297,0.74031,1.40516,0.0016634,0.0016634,0.0016634
19,311.437,1.373,0.729,1.36429,0.94733,0.96324,0.98539,0.59458,1.3824,0.68223,1.35736,0.0016436,0.0016436,0.0016436
20,327.997,1.41192,0.75506,1.37635,0.9334,0.97059,0.98801,0.61698,1.3625,0.74519,1.34145,0.0016238,0.0016238,0.0016238
