epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.557,1.42624,24.2981,0.00922,0.73419,0.4952,0.54433,0.31754,1.45037,3.58465,0.01404,0.000413251,0.000413251,0.000413251
2,264.126,1.49154,6.83807,0.00948,0.48921,0.55075,0.54627,0.30031,1.53179,3.45694,0.01512,0.000821702,0.000821702,0.000821702
3,365.653,1.57157,5.21484,0.01029,0.52386,0.58439,0.61718,0.29853,1.4908,3.76691,0.015,0.0012219,0.0012219,0.0012219
4,464.573,1.56454,4.63443,0.00978,0.82126,0.53977,0.6026,0.32765,1.34394,3.02611,0.01323,0.00121287,0.00121287,0.00121287
5,563.836,1.50909,4.20558,0.00963,0.53198,0.57485,0.60282,0.34545,1.48647,3.09859,0.01479,0.0012005,0.0012005,0.0012005
6,664.197,1.46215,4.08319,0.00909,0.72604,0.61256,0.64613,0.39535,1.30223,2.79247,0.01255,0.00118812,0.00118812,0.00118812
7,762.822,1.61035,3.6726,0.01047,0.52353,0.57731,0.65773,0.38021,1.40524,3.01089,0.01367,0.00117575,0.00117575,0.00117575
8,861.629,1.49734,3.70358,0.00936,0.80306,0.61079,0.65608,0.39986,1.36355,2.6497,0.01342,0.00116337,0.00116337,0.00116337
9,962.82,1.41127,3.42577,0.00887,0.82177,0.60068,0.66654,0.38852,1.51036,3.0922,0.01461,0.001151,0.001151,0.001151
10,1062.33,1.41358,3.33671,0.00889,0.55722,0.66113,0.67379,0.4267,1.27461,2.4463,0.01225,0.00113863,0.00113863,0.00113863
11,1160.16,1.36515,3.23321,0.00846,0.81395,0.65016,0.68099,0.44029,1.26073,2.16601,0.0122,0.00112625,0.00112625,0.00112625
12,1262.83,1.39248,3.07422,0.00894,0.8518,0.64645,0.69264,0.44747,1.20867,2.24529,0.01179,0.00111388,0.00111388,0.00111388
13,1363.65,1.33573,2.8983,0.00815,0.78935,0.59817,0.66155,0.41493,1.32162,2.50084,0.01286,0.0011015,0.0011015,0.0011015
14,1465.75,1.38447,2.77695,0.0087,0.85309,0.61963,0.68038,0.43679,1.23213,2.07224,0.0118,0.00108913,0.00108913,0.00108913
15,1564.69,1.44026,2.84442,0.00889,0.60821,0.70725,0.68263,0.44344,1.23946,2.07852,0.01191,0.00107675,0.00107675,0.00107675
16,1664.21,1.39839,2.75316,0.00917,0.82256,0.62518,0.66461,0.43829,1.18787,2.32801,0.01149,0.00106437,0.00106437,0.00106437
17,1764.44,1.41074,2.66924,0.0088,0.85982,0.66022,0.69875,0.46007,1.14154,1.92282,0.011,0.001052,0.001052,0.001052
18,1869.13,1.36217,2.43768,0.00857,0.83515,0.65487,0.73069,0.48571,1.21534,2.04775,0.01178,0.00103962,0.00103962,0.00103962
19,1976.64,1.33921,2.36564,0.0082,0.8689,0.65691,0.74043,0.45667,1.25703,2.14991,0.0123,0.00102725,0.00102725,0.00102725
20,2079.95,1.43406,2.54632,0.00925,0.85409,0.63422,0.71719,0.46209,1.23641,2.1161,0.01202,0.00101488,0.00101488,0.00101488
21,2181.47,1.37115,2.39374,0.00856,0.89185,0.63272,0.76332,0.50443,1.23306,1.93255,0.01208,0.0010025,0.0010025,0.0010025
22,2288.04,1.38578,2.59696,0.00877,0.79238,0.66044,0.67012,0.42355,1.26108,2.19176,0.01226,0.000990125,0.000990125,0.000990125
23,2386.94,1.2921,2.29178,0.00768,0.86347,0.61413,0.70699,0.47495,1.18165,1.95873,0.0117,0.00097775,0.00097775,0.00097775
24,2490.64,1.31102,2.66233,0.00826,0.84729,0.61907,0.68547,0.4529,1.26454,1.9424,0.01256,0.000965375,0.000965375,0.000965375
25,2589.78,1.32868,2.41399,0.00835,0.90073,0.63785,0.70684,0.47678,1.14762,1.89277,0.01105,0.000953,0.000953,0.000953
26,2687.3,1.26677,2.30322,0.00786,0.90762,0.64133,0.70387,0.46312,1.19647,1.7468,0.01166,0.000940625,0.000940625,0.000940625
27,2790.76,1.39251,2.57306,0.00882,0.85316,0.64537,0.69511,0.45704,1.26083,1.83472,0.01226,0.00092825,0.00092825,0.00092825
28,2892.94,1.31452,2.38355,0.00836,0.85245,0.66392,0.69225,0.46763,1.15539,1.99671,0.01124,0.000915875,0.000915875,0.000915875
29,2995.09,1.30132,2.26772,0.00819,0.85691,0.65863,0.69016,0.46613,1.19306,1.77793,0.01141,0.0009035,0.0009035,0.0009035
30,3097.24,1.27163,2.249,0.00771,0.85747,0.65809,0.72281,0.49476,1.17413,1.76101,0.01155,0.000891125,0.000891125,0.000891125
31,3199.75,1.27659,2.26267,0.00782,0.85066,0.66583,0.70115,0.46401,1.21501,1.89427,0.01173,0.00087875,0.00087875,0.00087875
32,3303.04,1.30186,2.23964,0.00824,0.86121,0.65273,0.70451,0.46795,1.17069,1.79897,0.01141,0.000866375,0.000866375,0.000866375
33,3406.15,1.25986,2.11606,0.00774,0.87646,0.64441,0.71123,0.47422,1.24576,1.85002,0.01212,0.000854,0.000854,0.000854
34,3506.89,1.24282,2.19694,0.00756,0.85096,0.63989,0.68348,0.46244,1.14386,2.02737,0.01108,0.000841625,0.000841625,0.000841625
35,3609.57,1.28345,2.22087,0.0077,0.82611,0.64489,0.73699,0.4991,1.11593,1.73191,0.01087,0.00082925,0.00082925,0.00082925
36,3711.46,1.2287,2.20999,0.00755,0.84102,0.67321,0.70139,0.48161,1.10789,1.78615,0.0108,0.000816875,0.000816875,0.000816875
37,3814.42,1.21728,2.00559,0.00735,0.866,0.67083,0.76651,0.52114,1.13119,1.63026,0.01091,0.0008045,0.0008045,0.0008045
38,3924.36,1.29278,2.0861,0.00823,0.8089,0.66774,0.68108,0.45874,1.18375,1.89275,0.01166,0.000792125,0.000792125,0.000792125
39,4023.24,1.27391,2.06892,0.00764,0.86998,0.63851,0.70698,0.46212,1.17303,1.75013,0.01156,0.00077975,0.00077975,0.00077975
40,4120.78,1.25992,2.02657,0.00777,0.86473,0.66081,0.73207,0.49494,1.1981,1.77886,0.01174,0.000767375,0.000767375,0.000767375
