epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5906,1.38493,10.3581,1.44833,0.01514,1,0.51244,0.31245,1.16954,10.0881,1.16583,0.000375,0.000375,0.000375
2,44.0337,1.29761,7.14522,1.33585,0.86922,0.51358,0.68933,0.45237,1.16163,7.96803,1.18224,0.000754951,0.000754951,0.000754951
3,65.0601,1.27124,6.34096,1.2942,0.50997,0.67706,0.64999,0.39208,1.36536,6.94736,1.34328,0.00112723,0.00112723,0.00112723
4,86.5383,1.23283,5.88574,1.26201,0.88952,0.67738,0.71053,0.39736,1.48583,4.59949,1.44296,0.00121287,0.00121287,0.00121287
5,107.989,1.24773,5.2956,1.25702,0.58577,0.81527,0.7218,0.40292,1.49427,3.90911,1.46728,0.0012005,0.0012005,0.0012005
6,129.748,1.21409,4.68062,1.24414,0.91398,0.69157,0.71931,0.46338,1.23337,4.08099,1.2574,0.00118812,0.00118812,0.00118812
7,150.883,1.20165,4.38381,1.25205,0.87219,0.64726,0.70757,0.48419,1.08418,5.05955,1.17397,0.00117575,0.00117575,0.00117575
8,172.305,1.14636,4.26601,1.22072,0.84887,0.68468,0.70104,0.46186,1.16544,3.05732,1.23455,0.00116337,0.00116337,0.00116337
9,192.874,1.19723,3.90584,1.25041,0.58779,0.82161,0.70224,0.44582,1.27599,2.70723,1.30482,0.001151,0.001151,0.001151
10,214.5,1.20738,3.72632,1.24394,0.8745,0.68822,0.73184,0.48036,1.21684,2.3654,1.20541,0.00113863,0.00113863,0.00113863
11,235.288,1.16189,3.53087,1.21714,0.90543,0.69998,0.73417,0.4808,1.21354,2.13406,1.17185,0.00112625,0.00112625,0.00112625
12,256.779,1.16594,3.30721,1.22401,0.87957,0.68833,0.72032,0.50119,1.14208,2.19937,1.15732,0.00111388,0.00111388,0.00111388
13,277.867,1.1957,3.24387,1.24502,0.88477,0.69614,0.77488,0.52555,1.1333,2.14368,1.17228,0.0011015,0.0011015,0.0011015
14,300.589,1.16836,3.01986,1.21726,0.92146,0.68673,0.73036,0.49754,1.12981,2.22227,1.164,0.00108913,0.00108913,0.00108913
15,321.342,1.16396,2.85922,1.21538,0.91276,0.6926,0.73161,0.48754,1.17439,2.28013,1.21751,0.00107675,0.00107675,0.00107675
16,342.86,1.16826,2.93887,1.21522,0.92397,0.65011,0.72442,0.48005,1.24576,2.36004,1.28488,0.00106437,0.00106437,0.00106437
17,364.507,1.16655,2.81352,1.21546,0.88012,0.67084,0.74076,0.50513,1.13586,2.11732,1.18611,0.001052,0.001052,0.001052
18,386.286,1.15153,2.70642,1.19783,0.89333,0.68693,0.74436,0.49801,1.19167,2.12745,1.19927,0.00103962,0.00103962,0.00103962
19,406.736,1.13643,2.72231,1.19486,0.86574,0.69932,0.73382,0.50108,1.14552,2.07334,1.1751,0.00102725,0.00102725,0.00102725
20,428.872,1.15061,2.55815,1.21688,0.8845,0.68811,0.75579,0.51409,1.19791,2.41529,1.22252,0.00101488,0.00101488,0.00101488
21,450.189,1.17763,2.65035,1.24196,0.95009,0.67186,0.77216,0.5359,1.13257,2.01798,1.1892,0.0010025,0.0010025,0.0010025
22,471.645,1.12141,2.45068,1.19214,0.91388,0.70163,0.74022,0.51777,1.10837,1.92204,1.17515,0.000990125,0.000990125,0.000990125
